month,date,season,label,plot,rep,nh4.uM.l,nh4.mg.l,no3.no2.uM.l,no3.no2.mg.l,DKN.uM.l,"DKN,mg.l",pn.uM.l,pn.mg.l,po4.uM.l,po4.mg.l,tdp.uM.l,tdp.mg.l,pp.uM.l,pp.mg.l,cl.uM.l,cl.mg.l
3,3/20/2017,sp,?,1-East Inlet,A,8.973,0.125684811,79.815,1.117968705,NA,NA,11.9174626,0.166927899,1.043,0.032305882,1.49,0.04615126,31.52815268,0.976553001,342.91,12.15718823
3,3/20/2017,sp,?,1-East Inlet,B,3.682,0.051573774,71.858,1.006515006,NA,NA,25.84702416,0.362039267,0.559,0.017314466,1.603,0.049651322,11.40832476,0.353361451,294.69,10.44764457
3,3/20/2017,sp,?,5-South Inlet,A,8.181,0.114591267,1.196,0.016752372,NA,NA,14.72282737,0.206222643,1.119,0.034659906,1.801,0.055784174,86.14715064,2.668321844,851.45,30.18645685
3,3/20/2017,sp,?,5-South Inlet,B,7.402,0.103679814,1.145,0.016038015,NA,NA,15.06727897,0.211047377,1.05,0.0325227,1.32,0.04088568,45.21031253,1.40034422,734.38,26.03597414
3,3/20/2017,sp,?,2-Pond 1,A,10.5,0.1470735,0.276,0.003865932,NA,NA,11.43668825,0.160193692,0.739,0.022889786,2.819,0.087315706,16.95827034,0.525265466,402.03,14.25316959
3,3/20/2017,sp,?,2-Pond 1,B,33.807,0.473534649,0.858,0.012018006,NA,NA,19.16972965,0.268510403,0.684,0.021186216,2.15,0.0665941,28.96642553,0.897206064,418.51,14.83743503
3,3/20/2017,sp,?,3-Pond 2,A,18.877,0.264410139,0.658,0.009216606,NA,NA,16.77392365,0.234952349,-0.064,-0.001982336,2.319,0.071828706,29.04834877,0.899743555,438.2,15.5355046
3,3/20/2017,sp,?,3-Pond 2,B,18.373,0.257350611,0.702,0.009832914,NA,NA,28.84405914,0.404018736,0.773,0.023942902,1.857,0.057518718,33.16620847,1.027290141,347.54,12.32133562
3,3/20/2017,sp,?,4-Outlet,A,14.762,0.206771334,1.217,0.017046519,NA,NA,15.99418546,0.224030556,0.746,0.023106604,1.961,0.060740014,20.40900395,0.632148488,304.9,10.8096197
3,3/20/2017,sp,?,4-Outlet,B,12.459,0.174513213,1.107,0.015505749,NA,NA,7.323836064,0.102584972,0.801,0.024810174,1.895,0.05869573,45.73775898,1.416681347,304.9,10.8096197
4,5/2/2017,sp,CSW_W032,5-South Inlet,A,1.169,0.016374183,0.729,0.010211103,NA,NA,NA,0.686953401,1.805,0.05590807,1.434,0.044416716,NA,0.020694362,526.56,18.66813168
4,5/2/2017,sp,CSW_W033,5-South Inlet,B,2.961,0.041474727,NA,NA,NA,NA,NA,2.719535969,1.639,0.050766386,0.715,0.02214641,NA,0.267605537,612.54,21.71638062
4,5/2/2017,sp,CSW_W034,1-East Inlet,A,1.828,0.025604796,9.884,0.138445188,NA,NA,NA,0.66253495,0.334,0.010345316,0.05,0.0015487,NA,0.034550188,162.71,5.76855763
4,5/2/2017,sp,CSW_W035,1-East Inlet,B,8.574,0.120096018,9.598,0.134439186,NA,NA,NA,0.590337934,0.228,0.007062072,0.041,0.001269934,NA,0.017820289,197.63,7.00657639
4,5/2/2017,sp,CSW_W036,4-Outlet,A,6.74,0.09440718,NA,NA,NA,NA,NA,0.400189366,1.677,0.051943398,0.567,0.017562258,NA,0.025745633,333.41,11.82038473
4,5/2/2017,sp,CSW_W037,4-Outlet,B,4.676,0.065496732,1.566,0.021934962,NA,NA,NA,0.283264158,1.458,0.045160092,0.059,0.001827466,NA,0.016127852,323.86,11.48180858
4,5/2/2017,sp,CSW_W038,2-Pond 1,A,0.203,0.002843421,NA,NA,NA,NA,NA,2.04756907,1.813,0.056155862,NA,NA,NA,0.22100309,411.09,14.57437377
4,5/2/2017,sp,CSW_W039,2-Pond 1,B,13.381,0.187427667,NA,NA,NA,NA,NA,0.290416113,1.654,0.051230996,0.17,0.00526558,NA,0.01049084,378.72,13.42676016
4,5/2/2017,sp,CSW_W040,3-Pond 2,A,1.062,0.014875434,NA,NA,NA,NA,NA,0.261883868,1.194,0.036982956,0.502,0.015548948,NA,0.013555081,374.76,13.28636628
4,5/2/2017,sp,CSW_W041,3-Pond 2,B,NA,NA,NA,NA,NA,NA,NA,0.709030467,1.428,0.044230872,1.979,0.061297546,NA,0.066407909,367.87,13.04209511
5,5/15/2017,sp,CSW_W042,1-East Inlet,A,NA,NA,NA,NA,NA,NA,NA,0.355021795,0.19,0.00588506,0.548,0.016973752,NA,0.030633971,316.11,11.20704783
5,5/15/2017,sp,CSW_W043,1-East Inlet,B,6.48,0.09076536,4.936,0.069138552,NA,NA,NA,0.279901706,0.235,0.00727889,0.059,0.001827466,NA,-0.026458519,318.95,11.30773435
5,5/15/2017,sp,CSW_W044,2-Pond 1,A,1.797,0.025170579,NA,NA,NA,NA,NA,0.171121344,0.711,0.022022514,0.844,0.026142056,NA,-0.032838137,271.14,9.61272642
5,5/15/2017,sp,CSW_W045,2-Pond 1,B,5.364,0.075133548,NA,NA,NA,NA,NA,0.587091153,0.832,0.025770368,0.382,0.011832068,NA,0.0693844,270.69,9.59677257
5,5/15/2017,sp,CSW_W046,3-Pond 2,A,6.74,0.09440718,NA,NA,NA,NA,NA,0.520297899,0.469,0.014526806,0.41,0.01269934,NA,0.053244255,186.48,6.61127544
5,5/15/2017,sp,CSW_W047,3-Pond 2,B,0.847,0.011863929,NA,NA,NA,NA,NA,NA,0.613,0.018987062,0.548,0.016973752,NA,0.00119092,225.06,7.97905218
5,5/15/2017,sp,CSW_W048,5-South Inlet,A,3.895,0.054557265,NA,NA,NA,NA,NA,0.219970513,0.786,0.024345564,NA,NA,NA,-0.038960782,902.38,31.99207814
5,5/15/2017,sp,CSW_W049,5-South Inlet,B,1.23,0.01722861,NA,NA,NA,NA,NA,0.698057567,0.718,0.022239332,0.825,0.02555355,NA,0.017809528,900.38,31.92117214
5,5/15/2017,sp,CSW_W050,4-Outlet,A,7.581,0.106187067,NA,NA,NA,NA,NA,4.59149153,0.53,0.01641622,1.969,0.060987806,NA,0.745234646,146.26,5.18535578
5,5/15/2017,sp,CSW_W051,4-Outlet,B,4.507,0.063129549,NA,NA,NA,NA,NA,0.973452929,0.5,0.015487,1.047,0.032429778,NA,0.149786355,131.95,4.67802335
6,6/13/2017,sm,CSW_W052,1-East Inlet,A,3.509,0.049,1.023,0.014329161,NA,NA,43.79387745,0.613420841,0.614,0.019018036,1.66,0.05141684,57.76705033,1.789276617,312.07,11.06381771
6,6/13/2017,sm,CSW_W053,1-East Inlet,B,2.961,0.041,1.439,0.020156073,NA,NA,34.91919374,0.489113147,0.532,0.016478168,1.217,0.037695358,52.25635025,1.618588193,276.29,9.79530937
6,6/13/2017,sm,CSW_W054,5-South Inlet,A,1.359,0.019,0.737,0.010323159,NA,NA,14.93492723,0.209193526,0.933,0.028898742,1.207,0.037385618,-3.201916637,-0.099176166,593.56,21.04348268
6,6/13/2017,sm,CSW_W055,5-South Inlet,B,3.148,0.044,0.063,0.000882441,NA,NA,20.40628314,0.285830808,0.822,0.025460628,2.461,0.076227014,-1.004773165,-0.031121844,713.69,25.30245157
6,6/13/2017,sm,CSW_W056,2-Pond 1,A,3.408,0.048,0.808,0.011317656,NA,NA,24.74042102,0.346539077,0.753,0.023323422,1.386,0.042929964,4.193699782,0.129895657,107.03,3.79453459
6,6/13/2017,sm,CSW_W057,2-Pond 1,B,4.807,0.067,NA,NA,NA,NA,32.18776966,0.45085409,0.822,0.025460628,2.545,0.07882883,5.508175758,0.170610236,98.24,3.48290272
6,6/13/2017,sm,CSW_W058,3-Pond 2,A,8.714,0.122,0.687,0.009622809,NA,NA,27.36795729,0.383342978,0.981,0.030385494,1.716,0.053151384,5.595051677,0.173301131,20.93,0.74203129
6,6/13/2017,sm,CSW_W059,3-Pond 2,B,9.233,0.129,NA,NA,NA,NA,39.58654428,0.554488726,0.511,0.015827714,0.877,0.027164198,6.859828688,0.212476334,27.61,0.97885733
6,6/13/2017,sm,CSW_W060,4-Outlet,A,4.865,0.068,0.401,0.005616807,NA,NA,40.95229073,0.573618736,0.469,0.014526806,0.972,0.030106728,75.11351414,2.326565987,27.5,0.9749575
6,6/13/2017,sm,CSW_W061,4-Outlet,B,8.08,0.113,0.239,0.003347673,NA,NA,18.16038377,0.254372495,0.856,0.026513744,1.424,0.044106976,39.27009731,1.216351994,24.1,0.8544173
7,7/24/2017,sm,CSW_W062,5-South Inlet,A,6.9465,0.097299626,0.0545,0.000763382,67.42133058,0.944370577,37.65288378,0.527403943,0.411,0.012730314,2.26157761,0.070050105,57.13705733,1.769763214,348.54,12.35678862
7,7/24/2017,sm,CSW_W063,5-South Inlet,B,7.4575,0.104457203,0.431,0.006037017,92.91466982,1.30145578,73.31580231,1.026934443,1.5755,0.048799537,4.222469192,0.130786761,122.0200562,3.779449222,354.245,12.55904799
7,7/24/2017,sm,CSW_W064,1-East Inlet,A,46.0765,0.645393536,NA,NA,53.59109554,0.750650475,27.45706103,0.384591054,0.132,0.004088568,1.981450242,0.06137344,-2.968676026,-0.091951771,281.19,9.96902907
7,7/24/2017,sm,CSW_W065,1-East Inlet,B,65.891,0.922935237,NA,NA,53.31527888,0.746787111,31.82771719,0.445810835,0.069,0.002137206,2.063556539,0.0639166,-1.330616117,-0.041214504,282.95,10.03142635
7,7/24/2017,sm,CSW_W066,4-Outlet,A,24.095,0.337498665,NA,NA,44.13452457,0.618192286,54.94545673,0.769621012,0.8805,0.027272607,2.976385379,0.092190561,10.90836293,0.337875633,49.45,1.75315085
7,7/24/2017,sm,CSW_W067,4-Outlet,B,10.2105,0.143018474,0.0745,0.001043522,46.02583876,0.644683924,55.16765814,0.772733388,0.7855,0.024330077,2.82666213,0.087553033,11.15079173,0.345384623,49.03,1.73826059
7,7/24/2017,sm,CSW_W068,2-Pond 1,A,4.641,0.065006487,NA,NA,53.15766937,0.744579475,15.93762111,0.223238259,0.6055,0.018754757,3.058491677,0.094733721,23.34855364,0.7231981,160.59,5.69339727
7,7/24/2017,sm,CSW_W069,2-Pond 1,B,7.541,0.105626787,NA,NA,49.17802908,0.688836653,60.48579073,0.847224471,0.422,0.013071028,2.517556068,0.077978782,14.3668522,0.44499888,161.735,5.733990955
7,7/24/2017,sm,CSW_W070,3-Pond 2,A,43.581,0.610439067,NA,NA,54.9701788,0.769967294,17.54355072,0.245732515,0.616,0.019079984,3.101959717,0.0960801,40.59793863,1.257480551,113.39,4.02001567
7,7/24/2017,sm,CSW_W071,3-Pond 2,B,31.781,0.445156467,NA,NA,54.77316691,0.767207749,20.37056351,0.285330483,0.524,0.016230376,3.101959717,0.0960801,46.15388772,1.429570518,115.165,4.082944745
8,8/17/2017,sm,CSW_W072,2-Pond 1,A,14.617,0.204740319,NA,NA,30.97412997,0.433854638,33.0977599,0.463600323,0.4325,0.013396255,2.396811513,0.07423884,11.98529637,0.37123257,78.945,2.798837085
8,8/17/2017,sm,CSW_W073,2-Pond 1,B,5.835,0.081730845,NA,NA,35.50540356,0.497324188,38.21630978,0.535295851,0.436,0.013504664,2.30504565,0.071396484,10.21891337,0.316520623,80.005,2.836417265
8,8/17/2017,sm,CSW_W074,1-East Inlet,A,12.069,0.169050483,0.528,0.007395696,45.63181497,0.639164832,37.46340463,0.524749909,0.1485,0.004599639,2.082875668,0.064514991,12.68146129,0.392795582,118.72,4.20898016
8,8/17/2017,sm,CSW_W075,1-East Inlet,B,14.146,0.198143022,0.475,0.006653325,47.20791013,0.661241197,45.29537153,0.634452269,0.5595,0.017329953,2.47891781,0.076782,12.36706396,0.383057439,118.15,4.18877195
8,8/17/2017,sm,CSW_W076,3-Pond 2,A,23.352,0.327091464,NA,NA,36.25404876,0.507810461,49.71615871,0.696374235,0.5455,0.016896317,3.203385143,0.099221651,12.34450828,0.382358799,64.755,2.295759015
8,8/17/2017,sm,CSW_W077,3-Pond 2,B,27.8485,0.39007394,NA,NA,39.44564146,0.5525151,48.40111584,0.67795443,0.457,0.014155118,3.068151241,0.095032917,12.83240832,0.397471015,68.77,2.43810281
8,8/17/2017,sm,CSW_W078,5-South Inlet,A,17.336,0.242825352,NA,NA,63.67810457,0.891939211,20.21975293,0.283218079,2.557,0.079200518,5.661744293,0.175366868,41.25009249,1.277680365,199.575,7.075532475
8,8/17/2017,sm,CSW_W079,5-South Inlet,B,11.923,0.167005461,NA,NA,65.92404018,0.923398031,15.93994508,0.223270811,1.9445,0.060228943,5.497531697,0.170280547,25.03380518,0.775397082,208.22,7.38202366
8,8/17/2017,sm,CSW_W080,4-Outlet,A,6.829,0.095653803,NA,NA,83.61570836,1.171205227,36.43752041,0.510380348,4.6075,0.142712705,9.226123571,0.285769951,46.18322397,1.430479179,61.575,2.183018475
8,8/17/2017,sm,CSW_W081,4-Outlet,B,8.6875,0.121685813,NA,NA,53.49258959,0.749270702,39.24713192,0.549734577,2.7195,0.084233793,5.685893204,0.176114856,62.05974629,1.922238582,67.29,2.38563237
9,9/16/2017,f,CSW_W082,2-Pond 1,A,11.635,0.162971445,NA,NA,24.23632315,0.339478178,10.18198237,0.142619027,0.1145,0.003546523,1.8027483,0.055838326,3.456387242,0.107058138,307.285,10.89417511
9,9/16/2017,f,CSW_W083,2-Pond 1,B,24.916,0.348998412,NA,NA,26.91568493,0.377007999,11.65248577,0.163216368,0.164,0.005079736,1.686833526,0.052247982,3.102899147,0.096109198,308.83,10.94894999
9,9/16/2017,f,CSW_W084,3-Pond 2,A,17.9875,0.251950913,NA,NA,24.66974932,0.345549179,12.57644433,0.176158256,0.161,0.004986814,1.522620931,0.047161661,3.491261815,0.108138343,244.62,8.67251286
9,9/16/2017,f,CSW_W085,3-Pond 2,B,12.0615,0.168945431,NA,NA,23.13305654,0.324024723,33.70819983,0.472150755,0.1645,0.005095223,1.5854081,0.04910643,-2.255966074,-0.069876293,244.48,8.66754944
9,9/16/2017,f,CSW_W086,1-East Inlet,A,6.3525,0.088979468,20.0045,0.280203032,74.43495405,1.042610401,1.843589575,0.025823159,4.1135,0.127411549,5.681063422,0.175965258,48.19197286,1.492698167,403.845,14.31751679
9,9/16/2017,f,CSW_W087,1-East Inlet,B,6.532,0.091493724,20.224,0.283277568,70.41591139,0.986315671,1.85314522,0.025957005,3.7785,0.117035259,5.4154254,0.167737386,49.63753262,1.537472935,398.975,14.14486068
9,9/16/2017,f,CSW_W088,5-South Inlet,A,7.3265,0.102622286,NA,NA,32.07739658,0.449308094,-5.463390731,-0.076525714,0.81,0.02508894,2.532045415,0.078427575,46.57670669,1.442666913,622.75,22.07835575
9,9/16/2017,f,CSW_W089,5-South Inlet,B,11.856,0.166066992,NA,NA,30.77711807,0.431095093,52.9788112,0.742074208,0.8025,0.024856635,2.623811277,0.08126993,27.0778933,0.838710667,659.18,23.36990854
9,9/16/2017,f,CSW_W090,4-Outlet,A,17.4255,0.244078979,NA,NA,16.15883545,0.226336808,1.088012725,0.015239794,0.2135,0.006612949,1.720642002,0.053295165,0.46276887,0.014333803,202.025,7.162392325
9,9/16/2017,f,CSW_W091,4-Outlet,B,12.235,0.171375645,NA,NA,11.98218327,0.167834441,1.211603832,0.016970935,0.1075,0.003329705,1.49847202,0.046413672,-0.293736201,-0.009098185,198.71,7.04486563
10,10/16/2017,f,CSW_W092,2-Pond 1,A,18.5935,0.260439155,NA,NA,39.16982481,0.548651736,7.477793629,0.104741455,0.457,0.014155118,2.193960659,0.067955737,17.37837837,0.538277892,143.795,5.097964135
10,10/16/2017,f,CSW_W093,2-Pond 1,B,4.9445,0.069257612,NA,NA,39.48504384,0.553067009,-10.29019694,-0.144134789,0.5205,0.016121967,2.39198173,0.074089242,9.283413964,0.287544464,144.01,5.10558653
10,10/16/2017,f,CSW_W094,3-Pond 2,A,8.217,0.115095519,NA,NA,45.11958404,0.631990014,26.26068884,0.367833469,0.436,0.013504664,2.778364308,0.086057056,12.8327519,0.397481657,93.1,3.3006743
10,10/16/2017,f,CSW_W095,3-Pond 2,B,5.3,0.0742371,NA,NA,42.47962465,0.595012102,16.41322737,0.229900076,0.443,0.013721482,2.498236939,0.077380391,9.127635718,0.282719389,90.34,3.20282402
10,10/16/2017,f,CSW_W096,1-East Inlet,A,13.2075,0.184997453,3.785,0.053016495,68.72160909,0.962583578,9.519435676,0.133338736,0.5805,0.017980407,3.811937703,0.118070958,7.48812988,0.231937335,235.625,8.353613125
10,10/16/2017,f,CSW_W097,1-East Inlet,B,52.423,0.734288961,5.964,0.083537748,66.4362711,0.930572849,4.154969895,0.058198663,0.6335,0.019622029,3.47868273,0.107748719,6.993461335,0.216615471,234.105,8.299724565
10,10/16/2017,f,CSW_W098,5-South Inlet,A,76.0075,1.064637053,0.1905,0.002668334,56.78268824,0.795355114,-1.129258497,-0.015817524,1.1135,0.034489549,3.580108156,0.11089027,53.48095676,1.656519155,584.18,20.71093354
10,10/16/2017,f,CSW_W099,5-South Inlet,B,28.772,0.403009404,1.006,0.014091042,57.72834534,0.808600933,-11.16571129,-0.156398118,0.912,0.028248288,4.169341587,0.129141186,22.8179242,0.706762384,595.39,21.10836167
10,10/16/2017,f,CSW_W100,4-Outlet,A,9.7185,0.13612703,NA,NA,34.28392981,0.480215005,-5.403871371,-0.075692026,0.817,0.025305758,2.324364779,0.071994875,4.579531908,0.141846421,78.735,2.791391955
10,10/16/2017,f,CSW_W101,4-Outlet,B,4.886,0.068438202,NA,NA,32.86544416,0.460346276,-7.051721496,-0.098773463,0.785,0.02431459,2.222939353,0.068853324,5.268022441,0.163171727,80.715,2.861588895
11,11/17/2017,f,CSW_W102,1-East Inlet,A,10.268,0.143823876,27.772,0.389002404,26.91568493,0.377007999,-1.173163624,-0.016432503,0.3265,0.010113011,1.793088735,0.05553913,-0.901304363,-0.027917001,206.13,7.30792689
11,11/17/2017,f,CSW_W103,1-East Inlet,B,47.6285,0.6671324,29.498,0.413178486,30.93472759,0.433302729,20.80690954,0.291442382,0.3825,0.011847555,1.788258953,0.055389533,5.380805246,0.166665062,190.5,6.7537965
11,11/17/2017,f,CSW_W104,5-South Inlet,A,38.174,0.534703218,0.393,0.005504751,23.33006844,0.326784269,NA,0.355834016,0.217,0.006721358,0.80298338,0.024871607,NA,0.265638059,763.215,27.0582614
11,11/17/2017,f,CSW_W105,5-South Inlet,B,18.0765,0.253197536,NA,NA,20.72951142,0.290358266,NA,0.283372064,0.538,0.016664012,1.300450949,0.040280168,NA,0.042581447,756.285,26.81257211
11,11/17/2017,f,CSW_W106,2-Pond 1,A,7.426,0.104015982,NA,NA,23.33006844,0.326784269,25.40401345,0.230274714,0.443,0.013721482,1.372897682,0.042524133,8.576162546,0.265209964,117.3,4.1586369
11,11/17/2017,f,CSW_W107,2-Pond 1,B,5.617,0.078677319,NA,NA,17.73493061,0.248413173,20.23074632,0.312583352,0.4745,0.014697163,1.276302038,0.039532179,1.37474808,0.265255192,114.03,4.04270559
11,11/17/2017,f,CSW_W108,3-Pond 2,A,6.915,0.096858405,NA,NA,14.81915456,0.207571898,16.43997384,0.492800695,0.4045,0.012528983,1.112089442,0.034445858,8.562341436,0.483369039,83.615,2.964402595
11,11/17/2017,f,CSW_W109,3-Pond 2,B,27.3245,0.382734272,NA,NA,31.84098231,0.445996639,22.3162242,-0.171815113,0.3795,0.011754633,1.165217047,0.036091433,8.563801632,-0.137957098,77.89,2.76143417
11,11/17/2017,f,CSW_W110,4-Outlet,A,33.6015,0.470656211,NA,NA,18.8775996,0.264418538,35.18245841,0.057791164,0.6795,0.021046833,1.735131349,0.053743958,15.60563824,-0.167420927,81.21,2.87913813
11,11/17/2017,f,CSW_W111,4-Outlet,B,18.415,0.257938905,NA,NA,18.10925321,0.25365631,-12.26637485,0.078198261,0.299,0.009261226,1.464663544,0.045366489,-4.453964561,-0.164296385,81.985,2.906614205
12,12/13/2017,w,CSW_W112,1-East Inlet,A,14.2105,0.199046474,38.046,0.532910322,22.22680182,0.311330813,4.125877326,0.057791164,0.8985,0.027830139,2.189130877,0.06780614,-5.405208466,-0.167420927,128.04,4.53940212
12,12/13/2017,w,CSW_W113,1-East Inlet,B,8.089,0.113302623,39.3995,0.551868797,20.49309714,0.287046812,5.582798658,0.078198261,0.852,0.026389848,2.222939353,0.068853324,-5.304332178,-0.164296385,122.775,4.352742075
12,12/13/2017,w,CSW_W114,5-South Inlet,A,8.2005,0.114864404,NA,NA,17.18329731,0.240686445,56.62662071,0.793169076,3.1925,0.098884495,4.19832028,0.130038772,23.03271336,0.713415264,244.765,8.677653545
12,12/13/2017,w,CSW_W115,5-South Inlet,B,12.8705,0.180277094,NA,NA,16.71046876,0.234063536,104.2718719,1.46053611,3.348,0.103700952,4.314235054,0.133629117,15.19442192,0.470632024,208.08,7.37706024
12,12/13/2017,w,CSW_W116,2-Pond 1,A,28.779,0.403107453,0.704,0.009860928,14.58274029,0.204260443,4.709441004,0.06596514,3.8135,0.118119349,4.831021751,0.149636068,-5.013200717,-0.155278879,92.465,3.278161645
12,12/13/2017,w,CSW_W117,2-Pond 1,B,21.6795,0.303664757,0.5995,0.008397197,15.44959263,0.216402444,4.883515861,0.068403407,3.775,0.11692685,5.038702387,0.156068768,-5.499379334,-0.170337775,94.945,3.366085085
12,12/13/2017,w,CSW_W118,3-Pond 2,A,14.8145,0.207506702,0.421,0.005896947,21.517559,0.301396449,15.17133303,0.212504862,3.4575,0.107092605,4.845511098,0.150084861,-1.689817091,-0.052340395,83.825,2.971847725
12,12/13/2017,w,CSW_W119,3-Pond 2,B,7.288,0.102083016,0.368,0.005154576,15.84361642,0.221921535,6.776023927,0.094911767,3.6935,0.114402469,4.758575018,0.147392103,-5.234426272,-0.162131119,84.535,2.997019355
12,12/13/2017,w,CSW_W120,4-Outlet,A,6.011,0.084196077,0.552,0.007731864,12.17919517,0.170593987,4.008584314,0.05614824,3.9475,0.122269865,4.396341351,0.136172277,-6.535667848,-0.202435776,48.75,1.72833375
12,12/13/2017,w,CSW_W121,4-Outlet,B,7.7305,0.108281114,0.411,0.005756877,9.027004844,0.126441257,4.887938203,0.06846535,3.8275,0.118552985,4.531575254,0.140361012,-6.770467925,-0.209708474,55.655,1.973136715
